Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
960,Gavi,es ESP,"MF,FW",Barcelona,es La Liga,18,2004,12,10,944,10.5,1,1,2
961,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,31,1992,38,38,3420,38,0,0,0
962,Yann Gboho,fr FRA,"MF,FW",Toulouse,fr Ligue 1,22,2001,16,13,1193,13.3,3,2,5
963,Dennis Geiger,de GER,MF,Hoffenheim,de Bundesliga,25,1998,3,0,64,0.7,0,0,0
964,Gelabert,es ESP,"MF,FW",Toulouse,fr Ligue 1,22,2000,16,10,754,8.4,1,2,3
965,Francesco Gelli,it ITA,"MF,DF",Frosinone,it Serie A,26,1996,27,16,1561,17.3,0,0,0
966,Luca Gemello,it ITA,GK,Torino,it Serie A,23,2000,2,2,180,2,0,0,0
967,Valentin Gendrey,fr FRA,DF,Lecce,it Serie A,23,2000,37,35,3044,33.8,2,3,5
968,Denis Genreau,au AUS,"MF,FW",Toulouse,fr Ligue 1,24,1999,9,5,464,5.2,0,0,0
969,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,de Bundesliga,29,1994,25,18,1630,18.1,2,1,3
970,Anwar El Ghazi,nl NED,"MF,DF",Mainz 05,de Bundesliga,28,1995,3,0,54,0.6,0,1,1
971,Fares Ghedjemis,fr FRA,"FW,MF",Frosinone,it Serie A,20,2002,6,1,182,2,0,0,0
972,Saman Ghoddos,ir IRN,DF,Brentford,eng Premier League,29,1993,19,7,739,8.2,1,0,1
973,Lautaro Gianetti,ar ARG,DF,Udinese,it Serie A,29,1993,7,7,630,7,1,0,1
974,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,eng Premier League,23,2000,37,35,3156,35.1,5,10,15
975,Samuel Gigot,fr FRA,DF,Marseille,fr Ligue 1,29,1993,21,20,1726,19.2,3,0,3
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
976,Bryan Gil,es ESP,"FW,MF",Tottenham,eng Premier League,22,2001,11,2,209,2.3,0,0,0
977,David Gil,es ESP,GK,Cadiz,es La Liga,29,1994,5,4,372,4.1,0,0,0
978,Mario Gila,es ESP,DF,Lazio,it Serie A,22,2000,21,21,1809,20.1,0,0,0
979,Alfie Gilchrist,eng ENG,DF,Chelsea,eng Premier League,19,2003,11,2,207,2.3,1,0,1
980,Billy Gilmour,sct SCO,MF,Brighton,eng Premier League,22,2001,30,24,2120,23.6,0,1,1
981,Benedikt Gimber,de GER,DF,Heidenheim,de Bundesliga,26,1997,24,24,2021,22.5,1,1,2
982,Gvidas Gineitis,lt LTU,MF,Torino,it Serie A,19,2004,14,4,538,6,0,0,0
983,Matthias Ginter,de GER,DF,Freiburg,de Bundesliga,29,1994,23,22,1913,21.3,0,2,2
984,Olivier Giroud,fr FRA,FW,Milan,it Serie A,36,1986,35,28,2363,26.3,15,8,23
985,Klaus Gjasula,al ALB,"DF,MF",Darmstadt 98,de Bundesliga,33,1989,22,17,1363,15.1,0,0,0
986,Serge Gnabry,de GER,"FW,MF",Bayern Munich,de Bundesliga,28,1995,10,5,432,4.8,3,1,4
987,Ben Godfrey,eng ENG,DF,Everton,eng Premier League,25,1998,15,13,1120,12.4,0,0,0
988,Edoardo Goldaniga,it ITA,DF,Cagliari,it Serie A,29,1993,13,12,1011,11.2,0,0,0
989,Pierluigi Gollini,it ITA,GK,Napoli,it Serie A,28,1995,7,7,630,7,0,0,0
990,Aleksandr Golovin,ru RUS,"MF,FW",Monaco,fr Ligue 1,27,1996,25,25,2147,23.9,6,6,12
991,Andre Gomes,pt POR,"MF,FW",Everton,eng Premier League,30,1993,12,3,508,5.6,1,0,1
992,Angel Gomes,eng ENG,MF,Lille,fr Ligue 1,22,2000,31,29,2571,28.6,0,8,8
993,Joao Gomes,br BRA,MF,Wolves,eng Premier League,22,2001,34,32,2649,29.4,2,1,3
994,Toti Gomes,pt POR,DF,Wolves,eng Premier League,24,1999,35,31,2772,30.8,1,3,4
995,Joe Gomez,eng ENG,DF,Liverpool,eng Premier League,26,1997,32,17,1786,19.8,0,1,1
996,Maxi Gomez,uy URU,FW,Cadiz,es La Liga,26,1996,31,12,1163,12.9,0,0,0
997,Moi Gomez,es ESP,"MF,FW",Osasuna,es La Liga,29,1994,28,23,2006,22.3,3,0,3
998,Papu Gomez,ar ARG,"MF,FW",Monza,it Serie A,35,1988,2,0,41,0.5,0,0,0
999,Sergio Gomez,es ESP,"FW,MF",Manchester City,eng Premier League,22,2000,6,0,53,0.6,0,1,1
1000,Unai Gomez,es ESP,MF,Athletic Club,es La Liga,20,2003,25,9,875,9.7,2,0,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1001,Iron Gomis,fr FRA,MF,Salernitana,it Serie A,23,1999,5,1,134,1.5,0,0,0
1002,Maxime Gonalons,fr FRA,MF,Clermont Foot,fr Ligue 1,34,1989,21,17,1296,14.4,1,0,1
1003,Edgar Gonzalez,es ESP,"DF,MF",Almeria,es La Liga,26,1997,31,30,2522,28,2,0,2
1004,Enso Gonzalez,py PAR,"MF,DF",Wolves,eng Premier League,18,2005,1,0,1,0,0,0,0
1005,Fabio Gonzalez,es ESP,MF,Las Palmas,es La Liga,26,1997,6,1,123,1.4,0,0,0
1006,Giovanni Gonzalez,uy URU,DF,Mallorca,es La Liga,28,1994,34,27,2464,27.4,1,1,2
1007,Hugo Gonzalez,es ESP,"MF,FW",Valencia,es La Liga,20,2003,9,0,87,1,0,1,1
1008,Inaki Gonzalez,es ESP,MF,Las Palmas,es La Liga,19,2004,1,0,5,0.1,0,0,0
1009,Joan Gonzalez,es ESP,MF,Lecce,it Serie A,21,2002,29,13,1291,14.3,1,1,2
1010,Nicolas Gonzalez,ar ARG,FW,Fiorentina,it Serie A,25,1998,29,21,1913,21.3,12,2,14
1011,Urko Gonzalez,es ESP,MF,Real Sociedad,es La Liga,22,2001,5,2,156,1.7,0,0,0
1012,Anthony Gordon,eng ENG,FW,Newcastle Utd,eng Premier League,22,2001,35,34,2890,32.1,11,10,21
