Rank,Player,Nation,Position,Squad,Competition,Age,Year_Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A
1386,Christoph Kramer,de GER,MF,Gladbach,de Bundesliga,32,1991,14,1,249,2.8,0,0,0
1387,Frans Kratzig,de GER,DF,Bayern Munich,de Bundesliga,20,2003,4,0,56,0.6,0,0,0
1388,Tom Krau,de GER,MF,Mainz 05,de Bundesliga,22,2001,29,13,1346,15,1,2,3
1389,Rasmus Kristensen,dk DEN,DF,Roma,it Serie A,26,1997,29,19,1744,19.4,1,1,2
1390,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,21,2002,26,23,2096,23.3,0,1,1
1391,Toni Kroos,de GER,MF,Real Madrid,es La Liga,33,1990,33,24,2124,23.6,1,8,9
1392,Nikola Krstovic,me MNE,FW,Lecce,it Serie A,23,2000,35,30,2373,26.4,7,1,8
1393,Rade Krunic,ba BIH,MF,Milan,it Serie A,29,1993,10,8,687,7.6,0,0,0
1394,Lukas Kubler,de GER,DF,Freiburg,de Bundesliga,30,1992,26,22,1847,20.5,1,0,1
1395,Takefusa Kubo,jp JPN,"FW,MF",Real Sociedad,es La Liga,22,2001,30,24,2150,23.9,7,4,11
1397,Mohammed Kudus,gh GHA,"FW,MF",West Ham,eng Premier League,22,2000,33,27,2484,27.6,8,6,14
1398,Christian Kuhlwetter,de GER,MF,Heidenheim,de Bundesliga,27,1996,1,0,8,0.1,0,1,1
1399,Dejan Kulusevski,se SWE,"FW,MF",Tottenham,eng Premier League,23,2000,36,31,2762,30.7,8,3,11
1400,Sael Kumbedi,fr FRA,DF,Lyon,fr Ligue 1,18,2005,17,8,924,10.3,0,1,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1401,Marash Kumbulla,al ALB,DF,Sassuolo,it Serie A,23,2000,7,3,362,4,0,0,0
1402,Justin Kumi,it ITA,FW,Sassuolo,it Serie A,19,2004,1,0,4,0,0,0,0
1403,Layvin Kurzawa,fr FRA,DF,Paris S-G,fr Ligue 1,30,1992,1,0,9,0.1,0,0,0
1404,Berkan Kutlu,tr TUR,MF,Genoa,it Serie A,25,1998,6,0,199,2.2,0,0,0
1405,Daler Kuzyaev,ru RUS,MF,Le Havre,fr Ligue 1,30,1993,30,24,2090,23.2,2,2,4
1406,Khvicha Kvaratskhelia,ge GEO,FW,Napoli,it Serie A,22,2001,34,32,2737,30.4,11,6,17
1407,Giorgi Kvernadze,ge GEO,"FW,DF",Frosinone,it Serie A,20,2003,5,0,63,0.7,0,0,0
1408,Moritz-Broni Kwarteng,gh GHA,FW,Bochum,de Bundesliga,25,1998,11,2,281,3.1,0,1,1
1409,Grejohn Kyei,fr FRA,FW,Clermont Foot,fr Ligue 1,27,1995,26,10,1026,11.4,2,1,3
1410,Giorgos Kyriakopoulos,gr GRE,DF,Monza,it Serie A,27,1996,28,20,1712,19,0,3,3
1411,Luca de la Torre,us USA,MF,Celta Vigo,es La Liga,25,1998,31,22,1956,21.7,1,4,5
1412,Gaetan Laborde,fr FRA,"FW,MF",Nice,fr Ligue 1,29,1994,34,22,1906,21.2,5,2,7
1413,Alexandre Lacazette,fr FRA,FW,Lyon,fr Ligue 1,32,1991,29,27,2293,25.5,19,2,21
1414,Maxence Lacroix,fr FRA,DF,Wolfsburg,de Bundesliga,23,2000,28,27,2362,26.2,4,1,5
1415,Alban Lafont,fr FRA,GK,Nantes,fr Ligue 1,24,1999,28,28,2496,27.7,0,0,0
1416,Yoel Lago,es ESP,DF,Celta Vigo,es La Liga,19,2004,1,1,90,1,0,0,0
1417,Aissa Laidouni,tn TUN,MF,Union Berlin,de Bundesliga,26,1996,23,10,1071,11.9,0,3,3
1418,Konrad Laimer,at AUT,"DF,MF",Bayern Munich,de Bundesliga,26,1997,29,18,1772,19.7,0,3,3
1419,Stefan Lainer,at AUT,"DF,MF",Gladbach,de Bundesliga,30,1992,15,8,751,8.3,0,1,1
1420,Kenny Lala,mg MAD,DF,Brest,fr Ligue 1,31,1991,33,33,2970,33,2,3,5
1421,Adam Lallana,eng ENG,"MF,FW",Brighton,eng Premier League,35,1988,25,13,850,9.4,0,1,1
1422,Mathis Lambourde,fr FRA,FW,Rennes,fr Ligue 1,17,2006,1,0,10,0.1,0,0,0
1423,Erik Lamela,ar ARG,"FW,MF",Sevilla,es La Liga,31,1992,13,5,463,5.1,2,0,2
1424,Mohamed Lamine Bayo,gn GUI,FW,Le Havre,fr Ligue 1,25,1998,22,16,1389,15.4,5,1,6
1425,Didier Lamkel Ze,cm CMR,"FW,MF",Metz,fr Ligue 1,26,1996,9,7,550,6.1,1,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1426,Tariq Lamptey,gh GHA,"DF,FW",Brighton,eng Premier League,22,2000,19,10,914,10.2,0,3,3
1427,Bruno Langa,mz MOZ,DF,Almeria,es La Liga,25,1997,11,9,820,9.1,1,0,1
1428,Gianluca Lapadula,pe PER,FW,Cagliari,it Serie A,33,1990,23,14,1205,13.4,3,1,4
1429,Aymeric Laporte,es ESP,DF,Manchester City,eng Premier League,29,1994,1,0,12,0.1,0,0,0
1430,Julien Laporte,fr FRA,DF,Lorient,fr Ligue 1,29,1993,23,20,1818,20.2,0,0,0
1431,Cyle Larin,ca CAN,FW,Mallorca,es La Liga,28,1995,35,20,1823,20.3,3,2,5
1432,Yasser Larouci,dz ALG,DF,Sheffield Utd,eng Premier League,22,2001,11,6,531,5.9,0,0,0
1433,Hugo Larsson,se SWE,MF,Eint Frankfurt,de Bundesliga,19,2004,29,21,1886,21,2,1,3
1434,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,eng Premier League,29,1993,16,13,1080,12,1,0,1
1435,Juanmi Latasa,es ESP,FW,Getafe,es La Liga,22,2001,32,15,1555,17.3,2,0,2
1436,Toni Lato,es ESP,DF,Mallorca,es La Liga,25,1997,28,16,1544,17.2,0,1,1
1437,Armand Lauriente,fr FRA,FW,Sassuolo,it Serie A,24,1998,37,35,2908,32.3,5,4,9
1438,Romeo Lavia,be BEL,MF,Chelsea,eng Premier League,19,2004,1,0,33,0.4,0,0,0
1439,Lazaro,br BRA,"FW,MF",Almeria,es La Liga,21,2002,14,2,285,3.2,0,0,0
1440,Valentino Lazaro,at AUT,"DF,MF",Torino,it Serie A,27,1996,35,21,1994,22.2,0,4,4
1441,Darko Lazovic,rs SRB,"FW,MF",Hellas Verona,it Serie A,32,1990,32,22,1928,21.4,3,2,5
1442,Manuel Lazzari,it ITA,DF,Lazio,it Serie A,29,1993,24,19,1671,18.6,0,2,2
1443,Theo Le Bris,fr FRA,"DF,MF",Lorient,fr Ligue 1,20,2002,26,15,1516,16.8,0,2,2
1444,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,25,1997,12,5,473,5.3,0,0,0
1445,Julien Le Cardinal,fr FRA,DF,Lens,fr Ligue 1,25,1997,2,0,58,0.6,0,0,0
1446,Jeremy Le Douaron,fr FRA,FW,Brest,fr Ligue 1,25,1998,33,19,1618,18,4,0,4
1447,Enzo Le Fee,fr FRA,MF,Rennes,fr Ligue 1,23,2000,25,19,1527,17,0,1,1
1448,Vincent Le Goff,fr FRA,"DF,MF",Lorient,fr Ligue 1,33,1989,9,8,541,6,1,1,2
1449,Robin Le Normand,es ESP,DF,Real Sociedad,es La Liga,26,1996,29,28,2469,27.4,2,0,2
1450,Nicola Leali,it ITA,GK,Genoa,it Serie A,30,1993,3,2,176,2,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1451,Rafael Leao,pt POR,FW,Milan,it Serie A,24,1999,34,29,2512,27.9,9,9,18
1452,Adrien Lebeau,fr FRA,"MF,FW",Brest,fr Ligue 1,24,1999,7,0,54,0.6,0,1,1
1453,Jean-Louis Leca,fr FRA,GK,Lens,fr Ligue 1,37,1985,1,1,90,1,0,0,0
1454,Benjamin Lecomte,fr FRA,GK,Montpellier,fr Ligue 1,32,1991,30,30,2700,30,0,1,1
1455,Jeremias Ledesma,ar ARG,GK,Cadiz,es La Liga,30,1993,34,34,3048,33.9,0,0,0
1456,Pierre Lees-Melou,fr FRA,MF,Brest,fr Ligue 1,30,1993,29,29,2517,28,4,0,4
1457,Diogo Leite,pt POR,DF,Union Berlin,de Bundesliga,24,1999,32,31,2702,30,0,0,0
1458,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,25,1998,7,4,379,4.2,0,0,0
1459,Florian Lejeune,fr FRA,DF,Rayo Vallecano,es La Liga,32,1991,37,37,3327,37,3,1,4
1460,Stefan Lekovic,rs SRB,DF,Villarreal,es La Liga,19,2004,1,0,29,0.3,0,0,0
1461,Inigo Lekue,es ESP,DF,Athletic Club,es La Liga,30,1993,27,22,2002,22.2,0,2,2
1462,Thomas Lemar,fr FRA,MF,Atletico Madrid,es La Liga,27,1995,3,3,164,1.8,0,0,0
1463,Mario Lemina,ga GAB,MF,Wolves,eng Premier League,29,1993,35,34,2968,33,4,1,5
1464,Alvaro Lemos,es ESP,DF,Las Palmas,es La Liga,30,1993,4,3,251,2.8,0,0,0
1465,Ruben Lendinez,es ESP,DF,Valencia,es La Liga,20,2003,1,0,11,0.1,0,0,0
1466,Clement Lenglet,fr FRA,DF,Aston Villa,eng Premier League,28,1995,14,14,1153,12.8,0,1,1
1467,Bernd Leno,de GER,GK,Fulham,eng Premier League,31,1992,38,38,3420,38,0,0,0
1468,Christopher Lenz,de GER,"DF,MF",RB Leipzig,de Bundesliga,28,1994,5,0,47,0.5,0,0,0
1469,Christopher Lenz,de GER,DF,Eint Frankfurt,de Bundesliga,28,1994,1,0,10,0.1,0,0,0
1470,Johann Lepenant,fr FRA,MF,Lyon,fr Ligue 1,20,2002,6,2,253,2.8,0,0,0
1471,Jefferson Lerma,co COL,"MF,DF",Crystal Palace,eng Premier League,28,1994,28,27,2400,26.7,1,1,2
1472,Leo Leroy,fr FRA,MF,Montpellier,fr Ligue 1,23,2000,21,3,499,5.5,0,1,1
1473,Robert Lewandowski,pl POL,FW,Barcelona,es La Liga,34,1988,35,32,2750,30.6,19,8,27
1474,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,22,2001,34,17,1523,16.9,4,4,8
1475,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,18,2004,16,8,809,9,2,0,2
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1476,Keane Lewis-Potter,eng ENG,"FW,DF",Brentford,eng Premier League,22,2001,30,15,1441,16,3,1,4
1477,Philipp Lienhart,at AUT,DF,Freiburg,de Bundesliga,27,1996,15,14,1265,14.1,1,0,1
1478,Matthijs de Ligt,nl NED,DF,Bayern Munich,de Bundesliga,23,1999,22,16,1390,15.4,2,0,2
1479,Victor Lindelof,se SWE,DF,Manchester Utd,eng Premier League,29,1994,19,14,1328,14.8,1,1,2
1480,Jesper Lindstrm,dk DEN,"FW,MF",Napoli,it Serie A,23,2000,22,2,430,4.8,0,0,0
1481,Jesper Lindstrm,dk DEN,FW,Eint Frankfurt,de Bundesliga,23,2000,1,1,83,0.9,0,0,0
1482,Karol Linetty,pl POL,MF,Torino,it Serie A,28,1995,28,19,1858,20.6,0,0,0
1483,Samuel Lino,br BRA,"DF,MF",Atletico Madrid,es La Liga,23,1999,34,25,2080,23.1,4,5,9
1484,Luca Lipani,it ITA,MF,Sassuolo,it Serie A,18,2005,8,5,384,4.3,0,0,0
1485,Pol Lirola,es ESP,DF,Frosinone,it Serie A,25,1997,25,18,1536,17.1,2,1,3
1486,Marcin Listkowski,pl POL,FW,Lecce,it Serie A,25,1998,1,0,8,0.1,0,0,0
1487,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,20,2002,26,12,1314,14.6,1,0,1
1488,Dejan Ljubicic,at AUT,"MF,FW",Koln,de Bundesliga,25,1997,26,24,2048,22.8,0,2,2
1489,Javier Llabres,es ESP,"MF,FW",Mallorca,es La Liga,20,2002,16,1,247,2.7,1,0,1
1490,Diego Llorente,es ESP,DF,Roma,it Serie A,29,1993,29,27,2170,24.1,1,1,2
1491,Marcos Llorente,es ESP,"MF,DF",Atletico Madrid,es La Liga,28,1995,37,29,2565,28.5,6,4,10
1492,Gautier Lloris,fr FRA,DF,Le Havre,fr Ligue 1,28,1995,31,31,2778,30.9,2,0,2
1493,Abou Lo,sn SEN,"MF,DF",Metz,fr Ligue 1,23,2000,6,2,197,2.2,0,0,0
1494,Giovani Lo Celso,ar ARG,MF,Tottenham,eng Premier League,27,1996,22,4,506,5.6,2,2,4
1495,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,28,1994,38,38,3282,36.5,0,1,1
1496,Manuel Locatelli,it ITA,MF,Juventus,it Serie A,25,1998,36,34,3008,33.4,1,4,5
1497,Bradley Locko,fr FRA,DF,Brest,fr Ligue 1,21,2002,33,33,2959,32.9,0,3,3
1498,Tom Lockyer,wls WAL,DF,Luton Town,eng Premier League,28,1994,14,14,1169,13,1,1,2
1499,Renan Lodi,br BRA,DF,Marseille,fr Ligue 1,25,1998,14,14,1235,13.7,0,0,0
1500,Ruben Loftus-Cheek,eng ENG,MF,Milan,it Serie A,27,1996,29,26,2068,23,6,1,7
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1501,Andy Logbo,fr FRA,FW,Le Havre,fr Ligue 1,19,2004,10,2,248,2.8,0,0,0
1502,Enzo Loiodice,fr FRA,MF,Las Palmas,es La Liga,22,2000,34,19,1790,19.9,0,1,1
1503,Sean Longstaff,eng ENG,MF,Newcastle Utd,eng Premier League,25,1997,35,30,2747,30.5,6,2,8
1504,Ademola Lookman,ng NGA,"FW,MF",Atalanta,it Serie A,25,1997,31,22,1894,21,11,7,18
1505,Noah Loosli,ch SUI,DF,Bochum,de Bundesliga,26,1997,10,2,346,3.8,0,0,0
1506,Anthony Lopes,pt POR,GK,Lyon,fr Ligue 1,32,1990,31,31,2790,31,0,0,0
1507,David Lopez,es ESP,DF,Girona,es La Liga,33,1989,25,25,1965,21.8,3,0,3
1508,Diego Lopez,es ESP,"MF,FW",Valencia,es La Liga,21,2002,36,30,2656,29.5,3,6,9
1509,Fermin Lopez,es ESP,"MF,FW",Barcelona,es La Liga,20,2003,31,14,1446,16.1,8,0,8
1510,Javi Lopez,es ESP,DF,Alaves,es La Liga,21,2002,32,25,2386,26.5,1,3,4
1511,Maxime Lopez,fr FRA,MF,Fiorentina,it Serie A,25,1997,19,7,800,8.9,0,0,0
1512,Maxime Lopez,fr FRA,MF,Sassuolo,it Serie A,25,1997,2,2,140,1.6,0,0,0
1513,Pau Lopez,es ESP,GK,Marseille,fr Ligue 1,28,1994,33,33,2939,32.7,0,0,0
1514,Unai Lopez,es ESP,MF,Rayo Vallecano,es La Liga,27,1995,35,28,2108,23.4,1,2,3
1515,Dion Lopy,sn SEN,MF,Almeria,es La Liga,21,2002,30,23,1916,21.3,0,0,0
1516,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,37,1986,31,31,2576,28.6,1,2,3
1517,Jordan Lotomba,ch SUI,DF,Nice,fr Ligue 1,24,1998,28,21,1804,20,1,0,1
1518,Tom Louchet,fr FRA,"MF,DF",Nice,fr Ligue 1,20,2003,13,3,409,4.5,1,1,2
1519,Imran Louza,ma MAR,MF,Lorient,fr Ligue 1,24,1999,14,10,863,9.6,1,3,4
1520,Matteo Lovato,it ITA,DF,Torino,it Serie A,23,2000,13,6,544,6,0,0,0
1521,Matteo Lovato,it ITA,DF,Salernitana,it Serie A,23,2000,13,11,947,10.5,0,0,0
1522,Dejan Lovren,hr CRO,DF,Lyon,fr Ligue 1,34,1989,10,8,718,8,0,0,0
1523,Sandi Lovric,si SVN,MF,Udinese,it Serie A,25,1998,29,21,1987,22.1,1,3,4
1524,Max Lowe,eng ENG,"DF,MF",Sheffield Utd,eng Premier League,26,1997,10,4,503,5.6,0,0,0
1525,Anthony Lozano,hn HON,"MF,FW",Getafe,es La Liga,30,1993,6,0,92,1,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1526,Anthony Lozano,hn HON,FW,Almeria,es La Liga,30,1993,13,10,772,8.6,3,0,3
1527,Lucas,br BRA,DF,Cadiz,es La Liga,22,2001,28,15,1539,17.1,1,0,1
1528,Lorenzo Lucca,it ITA,FW,Udinese,it Serie A,22,2000,37,30,2592,28.8,8,4,12
1529,Jhon Lucumi,co COL,DF,Bologna,it Serie A,25,1998,29,23,2217,24.6,0,0,0
1530,Jose Luis Gaya,es ESP,DF,Valencia,es La Liga,28,1995,24,22,1791,19.9,1,2,3
1531,Jose Luis Morales,es ESP,"FW,MF",Villarreal,es La Liga,36,1987,29,8,1048,11.6,7,0,7
1532,Jose Luis Palomino,ar ARG,DF,Atalanta,it Serie A,33,1990,4,0,27,0.3,0,0,0
1533,Douglas Luiz,br BRA,MF,Aston Villa,eng Premier League,25,1998,35,35,2993,33.3,9,5,14
1534,Romelu Lukaku,be BEL,FW,Roma,it Serie A,30,1993,32,30,2641,29.3,13,3,16
1535,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,20,2002,32,24,2191,24.3,1,0,1
1536,Dodi Lukebakio,be BEL,"FW,MF",Sevilla,es La Liga,25,1997,23,12,1125,12.5,5,1,6
1537,Sasa Lukic,rs SRB,MF,Fulham,eng Premier League,26,1996,24,13,1122,12.5,1,0,1
1538,Karlo Lulic,hr CRO,MF,Frosinone,it Serie A,27,1996,1,0,19,0.2,0,0,0
1539,Andriy Lunin,ua UKR,GK,Real Madrid,es La Liga,24,1999,21,21,1890,21,0,0,0
1540,Sebastiano Luperto,it ITA,DF,Empoli,it Serie A,26,1996,38,38,3406,37.8,1,1,2
1541,Mateus Lusuardi,br BRA,DF,Frosinone,it Serie A,19,2004,4,3,219,2.4,0,0,0
1542,Andreas Luthe,de GER,GK,Bochum,de Bundesliga,36,1987,1,1,90,1,0,0,0
1543,Zito Luvumbo,ao ANG,"FW,MF",Cagliari,it Serie A,21,2002,30,19,1946,21.6,4,5,9
1544,Charalambos Lykogiannis,gr GRE,DF,Bologna,it Serie A,29,1993,22,10,904,10,2,1,3
1545,Senne Lynen,be BEL,MF,Werder Bremen,de Bundesliga,24,1999,32,20,1797,20,0,3,3
1546,Joshua M'Bahia,ci CIV,MF,Clermont Foot,fr Ligue 1,18,2005,1,0,14,0.2,0,0,0
1547,Othmane Maamma,fr FRA,FW,Montpellier,fr Ligue 1,17,2005,2,1,88,1,1,0,1
1548,Ian Maatsen,nl NED,"FW,MF",Chelsea,eng Premier League,21,2002,12,1,209,2.3,0,0,0
1549,Ian Maatsen,nl NED,DF,Dortmund,de Bundesliga,21,2002,16,15,1264,14,2,2,4
1550,Alexis Mac Allister,ar ARG,MF,Liverpool,eng Premier League,24,1998,33,31,2599,28.9,5,5,10
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1551,Deiver Machado,co COL,DF,Lens,fr Ligue 1,29,1993,19,13,1124,12.5,4,0,4
1552,Darwin Machis,ve VEN,MF,Cadiz,es La Liga,30,1993,21,10,785,8.7,4,0,4
1553,James Maddison,eng ENG,MF,Tottenham,eng Premier League,26,1996,28,26,2135,23.7,4,9,13
1554,Noni Madueke,eng ENG,FW,Chelsea,eng Premier League,21,2002,23,13,1053,11.7,5,2,7
1555,Pablo Maffeo,es ESP,DF,Mallorca,es La Liga,26,1997,22,17,1454,16.2,1,2,3
1556,Gabriel Magalhaes,br BRA,DF,Arsenal,eng Premier League,25,1997,36,34,3044,33.8,4,0,4
1557,Soungoutou Magassa,fr FRA,"DF,MF",Monaco,fr Ligue 1,19,2003,21,15,1346,15,0,0,0
1558,Giulio Maggiore,it ITA,MF,Salernitana,it Serie A,25,1998,27,20,1800,20,4,2,6
1559,Matej Maglica,hr CRO,DF,Darmstadt 98,de Bundesliga,24,1998,26,21,1698,18.9,1,0,1
1560,Giangiacomo Magnani,it ITA,DF,Hellas Verona,it Serie A,27,1995,33,27,2444,27.2,0,0,0
1561,Hugo Magnetti,fr FRA,MF,Brest,fr Ligue 1,25,1998,33,30,2340,26,2,0,2
1562,Yohann Magnin,fr FRA,MF,Clermont Foot,fr Ligue 1,26,1997,31,17,1687,18.7,1,0,1
1563,Frank Magri,cm CMR,"FW,MF",Toulouse,fr Ligue 1,23,1999,29,14,1438,16,5,2,7
1564,Harry Maguire,eng ENG,DF,Manchester Utd,eng Premier League,30,1993,22,18,1653,18.4,2,2,4
1565,Jon Magunacelaya,es ESP,"FW,MF",Real Sociedad,es La Liga,23,2000,5,1,121,1.3,0,0,0
1566,Adel Mahamoud,km COM,FW,Nantes,fr Ligue 1,20,2003,1,0,10,0.1,0,0,0
1567,Arne Maier,de GER,MF,Augsburg,de Bundesliga,24,1999,22,10,1003,11.1,2,4,6
1568,Habib Maiga,ci CIV,"MF,FW",Metz,fr Ligue 1,27,1996,7,1,147,1.6,0,0,0
1569,Mike Maignan,fr FRA,GK,Milan,it Serie A,28,1995,29,29,2609,29,0,1,1
1570,Linton Maina,de GER,"FW,MF",Koln,de Bundesliga,24,1999,31,21,1901,21.1,1,3,4
1571,Patrick Mainka,de GER,DF,Heidenheim,de Bundesliga,28,1994,34,34,3060,34,2,0,2
1572,Kobbie Mainoo,eng ENG,MF,Manchester Utd,eng Premier League,18,2005,24,24,1924,21.4,3,1,4
1573,Ainsley Maitland-Niles,eng ENG,"DF,MF",Lyon,fr Ligue 1,25,1997,23,16,1432,15.9,1,4,5
1574,Radosaw Majecki,pl POL,GK,Monaco,fr Ligue 1,23,1999,12,12,1080,12,0,0,0
1575,Lovro Majer,hr CRO,MF,Rennes,fr Ligue 1,25,1998,1,0,16,0.2,0,0,0
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1576,Lovro Majer,hr CRO,"MF,FW",Wolfsburg,de Bundesliga,25,1998,32,25,2106,23.4,5,5,10
1577,Jean-Victor Makengo,fr FRA,"MF,FW",Lorient,fr Ligue 1,25,1998,11,5,479,5.3,0,0,0
1578,Jordy Makengo,fr FRA,DF,Freiburg,de Bundesliga,21,2001,20,10,1026,11.4,0,0,0
1579,Antoine Makoumbou,cg CGO,MF,Cagliari,it Serie A,25,1998,32,32,2702,30,1,0,1
1580,Nemanja Maksimovic,rs SRB,MF,Getafe,es La Liga,28,1995,37,37,3265,36.3,4,0,4
1581,Julian Malatini,ar ARG,DF,Werder Bremen,de Bundesliga,22,2001,11,6,602,6.7,1,0,1
1582,Daniel Maldini,it ITA,"MF,FW",Monza,it Serie A,21,2001,11,2,333,3.7,4,1,5
1583,Daniel Maldini,it ITA,"FW,MF",Empoli,it Serie A,21,2001,7,3,263,2.9,0,0,0
1584,Youssef Maleh,ma MAR,MF,Empoli,it Serie A,24,1998,34,30,2602,28.9,0,1,1
1585,Donyell Malen,nl NED,"FW,MF",Dortmund,de Bundesliga,24,1999,27,21,1781,19.8,13,1,14
1586,Ruslan Malinovskyi,ua UKR,MF,Genoa,it Serie A,30,1993,28,18,1544,17.2,4,1,5
1587,Lennard Maloney,us USA,MF,Heidenheim,de Bundesliga,23,1999,29,27,2284,25.4,1,1,2
1588,Aaron Malouda,fr FRA,FW,Lille,fr Ligue 1,17,2005,1,0,1,0,0,0,0
1589,Giorgi Mamardashvili,ge GEO,GK,Valencia,es La Liga,22,2000,37,37,3284,36.5,0,0,0
1590,David Mamutovic,de GER,"FW,DF",Mainz 05,de Bundesliga,22,2000,2,0,11,0.1,0,0,0
1591,Wilson Manafa,pt POR,"DF,MF",Granada,es La Liga,29,1994,4,3,240,2.7,0,0,0
1592,Hianga Mananga Mbock,fr FRA,"MF,FW",Brest,fr Ligue 1,23,1999,2,0,9,0.1,0,0,0
1593,Gianluca Mancini,it ITA,DF,Roma,it Serie A,27,1996,36,34,2869,31.9,4,1,5
1594,Marco Mancosu,it ITA,"MF,FW",Cagliari,it Serie A,34,1988,6,3,156,1.7,0,0,0
1595,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38,1985,34,34,3060,34,0,0,0
1596,Christos Mandas,gr GRE,GK,Lazio,it Serie A,21,2001,9,8,721,8,0,0,0
1597,Reinildo Mandava,mz MOZ,DF,Atletico Madrid,es La Liga,29,1994,16,7,731,8.1,2,1,3
1598,Aissa Mandi,dz ALG,DF,Villarreal,es La Liga,31,1991,16,12,1113,12.4,1,0,1
1599,Rolando Mandragora,it ITA,MF,Fiorentina,it Serie A,26,1997,33,16,1588,17.6,3,3,6
1600,Orel Mangala,be BEL,MF,Nott'ham Forest,eng Premier League,25,1998,20,19,1563,17.4,1,0,1
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A
1601,Orel Mangala,be BEL,MF,Lyon,fr Ligue 1,25,1998,8,4,398,4.4,2,0,2
1602,Vito Mannone,it ITA,GK,Lille,fr Ligue 1,35,1988,2,1,91,1,0,0,0
1603,Kostas Manolas,gr GRE,DF,Salernitana,it Serie A,32,1991,8,6,488,5.4,0,0,0
1604,Javier Manquillo,es ESP,"DF,MF",Celta Vigo,es La Liga,29,1994,12,10,744,8.3,0,1,1
1605,Braydon Manu,gh GHA,MF,Darmstadt 98,de Bundesliga,26,1997,4,3,171,1.9,0,0,0
1606,Benson Manuel,ao ANG,"MF,FW",Burnley,eng Premier League,26,1997,8,1,116,1.3,0,0,0
1607,Faitout Maouassa,fr FRA,"DF,MF",Granada,es La Liga,25,1998,6,2,229,2.5,0,1,1
1608,Faitout Maouassa,fr FRA,"MF,DF",Lens,fr Ligue 1,25,1998,3,1,76,0.8,0,0,0
1609,Marcao,br BRA,DF,Sevilla,es La Liga,27,1996,7,3,355,3.9,0,0,0
1610,Solly March,eng ENG,"FW,DF",Brighton,eng Premier League,29,1994,7,7,554,6.2,3,1,4
1611,Riccardo Marchizza,it ITA,DF,Frosinone,it Serie A,25,1998,13,13,1148,12.8,0,4,4
1612,Gian Marco Ferrari,it ITA,DF,Sassuolo,it Serie A,31,1992,31,25,2272,25.2,1,0,1
1613,Oscar de Marcos,es ESP,DF,Athletic Club,es La Liga,34,1989,28,26,2258,25.1,1,5,6
1614,Alberto Mari,es ESP,FW,Valencia,es La Liga,22,2001,16,2,276,3.1,1,1,2
1615,Jose Mari,es ESP,"MF,FW",Cadiz,es La Liga,35,1987,3,0,14,0.2,0,0,0
1616,Pablo Mari,es ESP,DF,Monza,it Serie A,29,1993,34,30,2615,29.1,0,0,0
1617,Jose Maria Gimenez,uy URU,DF,Atletico Madrid,es La Liga,28,1995,22,14,1326,14.7,0,0,0
1618,Mariano,do DOM,"FW,MF",Sevilla,es La Liga,29,1993,9,2,244,2.7,0,0,0
1619,Mirko Maric,hr CRO,FW,Monza,it Serie A,28,1995,10,1,287,3.2,1,0,1
1620,Rafa Marin,es ESP,DF,Alaves,es La Liga,21,2002,33,27,2443,27.1,0,0,0
1621,Razvan Marin,ro ROU,MF,Empoli,it Serie A,27,1996,30,20,1818,20.2,0,3,3
1622,Diego Marino,es ESP,GK,Almeria,es La Liga,33,1990,1,1,90,1,0,0,0
1623,Guillermo Maripan,cl CHI,DF,Monaco,fr Ligue 1,29,1994,23,21,1767,19.6,1,0,1
1624,Mika Marmol,es ESP,DF,Las Palmas,es La Liga,21,2002,36,36,3178,35.3,0,1,1
1625,Omar Marmoush,eg EGY,"FW,MF",Eint Frankfurt,de Bundesliga,24,1999,29,27,2301,25.6,12,6,18
